"Date","Filename","Period","Country/Territory (User location)","Location type","Campaign","Currency","Clicks","Impressions","CTR","Avg. CPC","Cost","Impr. (Abs. Top) ","Impr. (Top) ","Conversions","View-through conv.","Cost / conv.","Conv. rate"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Mongolia","Physical location","New App Promotion","USD",102,4603,"2.22",0.03,3.26,"0.00","0.00",12,0,0.27,"11.54"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Bolivia","Physical location","New App Promotion","USD",104,4227,"2.46",0.04,4.1,"0.00","0.00",13,0,0.32,"12.38"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Gabon","Physical location","New App Promotion","USD",15,668,"2.25",0.03,0.41,"100.00","100.00",0,0,0,"0.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","French Polynesia","Physical location","New App Promotion","USD",4,143,"2.80",0.04,0.15,"0.00","0.00",2,0,0.08,"50.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Iceland","Physical location","New App Promotion","USD",3,67,"4.48",0.03,0.1,"0.00","0.00",0,0,0,"0.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Fiji","Physical location","New App Promotion","USD",12,406,"2.96",0.02,0.26,"0.00","0.00",1,0,0.26,"8.33"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","American Samoa","Physical location","New App Promotion","USD",0,10,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Israel","Physical location","New App Promotion","USD",12,475,"2.53",0.05,0.6,"0.00","0.00",2,0,0.3,"16.67"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Seychelles","Physical location","New App Promotion","USD",3,124,"2.42",0.02,0.06,"0.00","0.00",2,0,0.03,"66.67"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Turkmenistan","Physical location","New App Promotion","USD",9,417,"2.16",0.02,0.2,"0.00","0.00",0,0,0,"0.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Syria","Physical location","New App Promotion","USD",4,339,"1.18",0.02,0.08,"0.00","0.00",0,0,0,"0.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Nigeria","Physical location","New App Promotion","USD",460,24978,"1.84",0.05,22.26,"9.38","34.38",97,1,0.23,"21.09"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Slovenia","Physical location","New App Promotion","USD",1,105,"0.95",0.02,0.02,"0.00","0.00",0,0,0,"0.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Tanzania","Physical location","New App Promotion","USD",96,4540,"2.11",0.03,3.36,"66.67","100.00",6,0,0.56,"6.19"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","New Caledonia","Physical location","New App Promotion","USD",3,151,"1.99",0.03,0.08,"0.00","0.00",1,0,0.08,"33.33"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Uganda","Physical location","New App Promotion","USD",38,1661,"2.29",0.05,1.85,"0.00","50.00",4,1,0.46,"10.53"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Paraguay","Physical location","New App Promotion","USD",29,1150,"2.52",0.02,0.71,"0.00","0.00",1,0,0.71,"3.23"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Guinea","Physical location","New App Promotion","USD",17,912,"1.86",0.02,0.39,"0.00","0.00",1,0,0.39,"5.88"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Nauru","Physical location","New App Promotion","USD",0,9,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Denmark","Physical location","New App Promotion","USD",0,52,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Romania","Physical location","New App Promotion","USD",15,788,"1.90",0.02,0.35,"0.00","0.00",1,0,0.35,"6.25"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Eswatini","Physical location","New App Promotion","USD",5,357,"1.40",0.06,0.28,"0.00","0.00",1,1,0.28,"20.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Togo","Physical location","New App Promotion","USD",20,1529,"1.31",0.03,0.62,"0.00","0.00",3,0,0.21,"13.64"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Armenia","Physical location","New App Promotion","USD",15,1036,"1.45",0.02,0.29,"0.00","0.00",0,0,0,"0.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Rwanda","Physical location","New App Promotion","USD",9,819,"1.10",0.06,0.56,"33.33","33.33",1,0,0.56,"10.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Venezuela","Physical location","New App Promotion","USD",145,13845,"1.05",0.02,2.69,"0.00","0.00",6,1,0.45,"3.95"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Ecuador","Physical location","New App Promotion","USD",81,4919,"1.65",0.03,2.27,"100.00","100.00",14,0,0.16,"16.47"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Vietnam","Physical location","New App Promotion","USD",120,7844,"1.53",0.04,5.38,"10.64","88.30",9,0,0.6,"7.44"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Nepal","Physical location","New App Promotion","USD",271,14226,"1.90",0.03,9.45,"60.00","100.00",23,0,0.41,"7.77"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Kosovo","Physical location","New App Promotion","USD",32,1023,"3.13",0.04,1.13,"0.00","0.00",3,0,0.38,"9.09"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Namibia","Physical location","New App Promotion","USD",35,2032,"1.72",0.03,1.13,"25.00","25.00",2,0,0.56,"5.71"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","United States","Physical location","New App Promotion","USD",29,511,"5.68",0.05,1.33,"0.00","0.00",1,0,1.33,"3.45"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Angola","Physical location","New App Promotion","USD",49,2209,"2.22",0.03,1.57,"100.00","100.00",8,0,0.2,"16.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Jordan","Physical location","New App Promotion","USD",19,1316,"1.44",0.04,0.67,"0.00","0.00",2,0,0.33,"10.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Saudi Arabia","Physical location","New App Promotion","USD",52,2923,"1.78",0.04,2.26,"62.50","62.50",3,0,0.75,"5.77"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Niger","Physical location","New App Promotion","USD",20,1143,"1.75",0.02,0.45,"0.00","0.00",0,0,0,"0.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Morocco","Physical location","New App Promotion","USD",366,22172,"1.65",0.03,10.51,"50.00","75.00",41,2,0.26,"10.17"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Chile","Physical location","New App Promotion","USD",28,2417,"1.16",0.02,0.64,"0.00","0.00",2,0,0.32,"6.90"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","United Kingdom","Physical location","New App Promotion","USD",6,133,"4.51",0.04,0.23,"0.00","0.00",0,0,0,"0.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Sierra Leone","Physical location","New App Promotion","USD",12,919,"1.31",0.04,0.42,"0.00","0.00",3,0,0.14,"25.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Bangladesh","Physical location","New App Promotion","USD",878,39437,"2.23",0.03,30.48,"39.29","67.86",72,1,0.42,"7.84"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Sweden","Physical location","New App Promotion","USD",2,59,"3.39",0.01,0.03,"0.00","0.00",0,0,0,"0.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","British Indian Ocean Territory","Physical location","New App Promotion","USD",0,1,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Sudan","Physical location","New App Promotion","USD",41,2042,"2.01",0.04,1.45,"0.00","0.00",1,0,1.45,"2.44"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Afghanistan","Physical location","New App Promotion","USD",74,3272,"2.26",0.03,1.95,"0.00","0.00",4,0,0.49,"5.41"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Saint Kitts and Nevis","Physical location","New App Promotion","USD",2,68,"2.94",0.02,0.04,"0.00","0.00",0,0,0,"0.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Guatemala","Physical location","New App Promotion","USD",53,2225,"2.38",0.03,1.77,"0.00","0.00",4,0,0.44,"7.41"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Democratic Republic of the Congo","Physical location","New App Promotion","USD",31,1628,"1.90",0.03,0.94,"0.00","0.00",8,0,0.12,"25.81"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Greece","Physical location","New App Promotion","USD",68,2492,"2.73",0.03,1.82,"0.00","0.00",4,0,0.46,"5.88"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","China","Physical location","New App Promotion","USD",3,368,"0.82",0.02,0.05,"0.00","100.00",0,0,0,"0.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Ethiopia","Physical location","New App Promotion","USD",41,2609,"1.57",0.05,1.85,"0.00","0.00",5,0,0.37,"12.20"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Cuba","Physical location","New App Promotion","USD",590,17167,"3.44",0.02,12.1,"0.00","0.00",55,0,0.22,"9.32"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Puerto Rico","Physical location","New App Promotion","USD",9,933,"0.96",0.03,0.23,"0.00","0.00",0,0,0,"0.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","New Zealand","Physical location","New App Promotion","USD",3,128,"2.34",0.04,0.12,"0.00","0.00",0,0,0,"0.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Guernsey","Physical location","New App Promotion","USD",0,37,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Cote d'Ivoire","Physical location","New App Promotion","USD",89,3860,"2.31",0.03,2.44,"0.00","100.00",12,0,0.2,"13.04"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Egypt","Physical location","New App Promotion","USD",178,11407,"1.56",0.03,5.61,"0.00","100.00",15,0,0.37,"8.20"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","South Africa","Physical location","New App Promotion","USD",69,3190,"2.16",0.05,3.49,"0.00","0.00",9,0,0.39,"13.04"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Greenland","Physical location","New App Promotion","USD",0,10,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Kyrgyzstan","Physical location","New App Promotion","USD",37,2306,"1.60",0.03,0.93,"0.00","33.33",3,0,0.31,"7.50"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Faroe Islands","Physical location","New App Promotion","USD",1,31,"3.23",0.03,0.03,"0.00","0.00",0,0,0,"0.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Saint Pierre and Miquelon","Physical location","New App Promotion","USD",0,2,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Bermuda","Physical location","New App Promotion","USD",0,55,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Germany","Physical location","New App Promotion","USD",24,492,"4.88",0.04,0.97,"0.00","0.00",1,0,0.97,"4.17"
2019-10-19,"User locations - kevin.csv","October 12, 2019 - October 18, 2019","Russia","Physical location","New App Promotion","USD",108,4168,"2.59",0.04,4.21,"0.00","100.00",8,0,0.53,"7.41"
