"Date","Filename","App","Country","Date","Active View-eligible impressions","Measurable impressions","% Measurable impressions (%)","Viewable impressions","% Viewable impressions (%)","AdMob Network request RPM (USD)","AdMob Network requests","Clicks","Estimated earnings (USD)","Impressions CTR (%)","Impression RPM (USD)","Impressions","Match rate (%)","Matched requests","Rewarded completes","Show rate (%)"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Iraq","2019-10-01",1,1,"100.00%",1,"100.00%",51.76,4,1,0.21,"100.00%",207.04,1,"100.00%",4,0,"25.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Venezuela","2019-10-01",0,0,,0,,0,16,0,0,,,0,"100.00%",16,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Antigua & Barbuda","2019-10-02",0,0,,0,,0,16,0,0,,,0,"100.00%",16,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Burundi","2019-10-02",1,1,"100.00%",1,"100.00%",0,1,0,0,"0.00%",0,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Cambodia","2019-10-02",1,1,"100.00%",0,"0.00%",0,1,0,0,"0.00%",0,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Sri Lanka","2019-10-02",1,1,"100.00%",1,"100.00%",0,1,0,0,"0.00%",0,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Morocco","2019-10-02",2,2,"100.00%",1,"50.00%",0,5,0,0,"0.00%",0,2,"100.00%",5,0,"40.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Nigeria","2019-10-02",4,4,"100.00%",2,"50.00%",0.02,56,0,0,"0.00%",0.26,4,"100.00%",56,0,"7.14%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Vietnam","2019-10-02",0,0,,0,,0,16,0,0,,,0,"100.00%",16,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Egypt","2019-10-03",0,0,,0,,0,16,0,0,,,0,"100.00%",16,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Mauritania","2019-10-03",1,1,"100.00%",0,"0.00%",0,1,0,0,"0.00%",0,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Vietnam","2019-10-03",22,22,"100.00%",18,"81.82%",0,83,0,0,"0.00%",0,22,"100.00%",83,0,"26.51%"
