"Date","Filename","Period","Country/Territory (User location)","Location type","Campaign","Currency","Clicks","Impressions","CTR","Avg. CPC","Cost","Impr. (Abs. Top) ","Impr. (Top) ","Conversions","View-through conv.","Cost / conv.","Conv. rate"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Mauritius","Physical location","New App Promotion","USD",18,959,"1.88",0.04,0.71,"50.00","100.00",2,0,0.36,"11.11"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Bermuda","Physical location","New App Promotion","USD",0,58,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Bulgaria","Physical location","New App Promotion","USD",9,437,"2.06",0.03,0.24,"0.00","0.00",1,0,0.24,"10.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Saint Vincent and the Grenadines","Physical location","New App Promotion","USD",2,112,"1.79",0.04,0.09,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Saint Lucia","Physical location","New App Promotion","USD",1,165,"0.61",0.03,0.03,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Tuvalu","Physical location","New App Promotion","USD",0,4,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Macao","Physical location","New App Promotion","USD",1,70,"1.43",0.01,0.01,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Turkey","Physical location","New App Promotion","USD",410,19813,"2.07",0.03,10.94,"10.00","50.00",44,0,0.25,"10.68"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Jersey","Physical location","New App Promotion","USD",0,94,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Chad","Physical location","New App Promotion","USD",18,641,"2.81",0.03,0.5,"0.00","0.00",2,0,0.25,"10.53"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Gabon","Physical location","New App Promotion","USD",15,734,"2.04",0.03,0.41,"100.00","100.00",1,0,0.41,"6.67"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","French Guiana","Physical location","New App Promotion","USD",2,193,"1.04",0.02,0.03,"0.00","0.00",1,0,0.03,"50.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Andorra","Physical location","New App Promotion","USD",0,41,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Nepal","Physical location","New App Promotion","USD",346,17434,"1.98",0.03,11.85,"64.29","100.00",39,0,0.3,"10.51"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Belize","Physical location","New App Promotion","USD",8,329,"2.43",0.03,0.2,"0.00","0.00",2,0,0.1,"25.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Montenegro","Physical location","New App Promotion","USD",4,145,"2.76",0.03,0.12,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Colombia","Physical location","New App Promotion","USD",109,8382,"1.30",0.03,3.13,"0.00","0.00",11,0,0.28,"10.09"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Palau","Physical location","New App Promotion","USD",0,23,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","New Zealand","Physical location","New App Promotion","USD",4,128,"3.12",0.04,0.14,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Mayotte","Physical location","New App Promotion","USD",2,133,"1.50",0.02,0.04,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Australia","Physical location","New App Promotion","USD",6,132,"4.55",0.05,0.31,"0.00","0.00",2,0,0.15,"33.33"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Italy","Physical location","New App Promotion","USD",54,2319,"2.33",0.03,1.64,"0.00","100.00",9,0,0.18,"16.67"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Madagascar","Physical location","New App Promotion","USD",16,857,"1.87",0.02,0.39,"0.00","0.00",2,0,0.2,"11.76"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","U.S. Virgin Islands","Physical location","New App Promotion","USD",0,93,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Guyana","Physical location","New App Promotion","USD",8,550,"1.45",0.03,0.27,"0.00","0.00",2,0,0.14,"25.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Czechia","Physical location","New App Promotion","USD",8,282,"2.84",0.03,0.2,"0.00","0.00",2,0,0.1,"25.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Dominica","Physical location","New App Promotion","USD",1,69,"1.45",0.02,0.02,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Panama","Physical location","New App Promotion","USD",16,1033,"1.55",0.02,0.36,"0.00","0.00",1,0,0.36,"6.25"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Sudan","Physical location","New App Promotion","USD",54,2633,"2.05",0.03,1.8,"0.00","0.00",1,0,1.8,"1.85"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Grenada","Physical location","New App Promotion","USD",1,83,"1.20",0.01,0.01,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Mauritania","Physical location","New App Promotion","USD",18,1123,"1.60",0.02,0.45,"0.00","0.00",3,0,0.15,"16.67"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Comoros","Physical location","New App Promotion","USD",4,87,"4.60",0.02,0.07,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Sao Tome and Principe","Physical location","New App Promotion","USD",0,15,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Puerto Rico","Physical location","New App Promotion","USD",9,947,"0.95",0.03,0.23,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Uruguay","Physical location","New App Promotion","USD",13,1544,"0.84",0.02,0.28,"100.00","100.00",2,0,0.14,"14.29"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Israel","Physical location","New App Promotion","USD",13,495,"2.63",0.05,0.62,"0.00","0.00",2,0,0.31,"15.38"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Burundi","Physical location","New App Promotion","USD",15,431,"3.48",0.02,0.33,"0.00","0.00",2,0,0.16,"11.76"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Guadeloupe","Physical location","New App Promotion","USD",16,1097,"1.46",0.02,0.37,"0.00","0.00",3,0,0.12,"18.75"
